company_name,patent_count
"SAMSUNG ELECTRONICS CO., LTD.",2605
International Business Machines Corporation,1002
TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY LTD.,891
"BOE Technology Group Co., Ltd.",668
Intel Corporation,479
"Micron Technology, Inc.",462
"Semiconductor Energy Laboratory Co., Ltd.",405
"LG Display Co., Ltd.",363
SK hynix Inc.,362
Japan Display Inc.,344
Apple Inc.,339
RENESAS ELECTRONICS CORPORATION,305
TOSHIBA MEMORY CORPORATION,295
SONY GROUP CORPORATION,295
SEIKO EPSON CORPORATION,260
QUALCOMM Incorporated,254
TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED,248
"MURATA MANUFACTURING CO., LTD.",245
"PANASONIC INTELLECTUAL PROPERTY MANAGEMENT CO., LTD.",220
Infineon Technologies AG,205
