inventor_name,country,patent_count
Shunpei Yamazaki,Unknown,144
Kangguo Cheng,Unknown,113
Chen-Hua Yu,Unknown,60
Xue Dong,Unknown,57
Alexander Reznicek,Unknown,47
Ruilong Xie,Unknown,43
Che-Cheng Chang,Unknown,36
Haisheng Wang,Unknown,35
Shengji Yang,Unknown,35
Xiaochuan Chen,Unknown,35
Hayato Kurasawa,Unknown,34
Hajime Kimura,Unknown,32
Pouya Hashemi,Unknown,32
Devendra K. Sadana,Unknown,31
Effendi Leobandung,Unknown,30
Jing-Cheng Lin,Unknown,30
Tenko Yamashita,Unknown,30
Yingming Liu,Unknown,30
Hans-Joachim Schulze,Unknown,29
Hui Zang,Unknown,29
