year,total_patents
1976,6351
1977,6424
1978,6514
1979,4850
1980,6139
1981,6653
1982,6477
1983,6269
1984,7360
1985,8130
1986,8227
1987,10323
1988,9536
1989,11741
1990,11273
1991,12269
1992,12629
1993,13263
1994,15018
1995,15766
1996,17166
1997,17479
1998,24151
1999,25845
2000,28122
2001,30339
2002,31593
2003,32416
2004,32888
2005,29445
2006,35363
2007,33101
2008,33857
2009,36809
2010,46370
2011,46990
2012,50282
2013,54432
2014,58453
2015,60165
2016,64653
2017,66179
2018,62193
2019,70268
2020,69927
2021,65786
2022,65184
2023,62126
2024,67774
2025,53056
